link,content_type,dataset_identifier,data_repository,source_section,dataset_webpage,source_url,download_link,title,id,surrounding_text,description,file_extension
qzae033_supplementary_data.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11423856/bin/qzae033_supplementary_data.zip,No Title,sup1,qzae033_Supplementary_Data,No description,zip
qzae033_supplementary_data.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11423856/bin/qzae033_supplementary_data.zip,No Title,sup1,qzae033_Supplementary_Data,No description,zip
n/a,,n/a,n/a,data availability from webpage,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015306/,,,,"Data Availability Statement
Data are available in a public, open access repository.",,
http://proteomecentral.proteomexchange.org,data_link,MSV000092248,http://proteomecentral.proteomexchange.org,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000092248,data_link,MSV000092248,http://proteomecentral.proteomexchange.org,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
http://www.proteomicsdb.org,data_link,MSV000092248,https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000092248,data availability,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092248,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
https://doi.org/10.2210/pdb7ZWE/pdb,,7ZWE,doi.org,,https://doi.org/10.2210/pdb7ZWE/pdb,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
https://doi.org/10.2210/pdb7A4Q/pdb,,7A4Q,doi.org,,https://doi.org/10.2210/pdb7A4Q/pdb,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
https://doi.org/10.2210/pdb7ZWG/pdb,,7ZWG,doi.org,,https://doi.org/10.2210/pdb7ZWG/pdb,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/#Sec27,data_link,MSV000092248,http://proteomecentral.proteomexchange.org,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,,,,,,
41589_2023_1459_MOESM2_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM2_ESM.xlsx,No Title,MOESM2,Supplementary Table 1 Compound annotation.,Compound annotation.,xlsx
41589_2023_1459_MOESM3_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM3_ESM.xlsx,No Title,MOESM3,Supplementary Table 2 Drug matrix of target affinity values.,Drug matrix of target affinity values.,xlsx
41589_2023_1459_MOESM4_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM4_ESM.xlsx,No Title,MOESM4,Supplementary Table 3 Selectivities of tool compounds.,Selectivities of tool compounds.,xlsx
41589_2023_1459_MOESM5_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM5_ESM.xlsx,No Title,MOESM5,Supplementary Table 4 Results related to CK2 follow-up experiments.,Results related to CK2 follow-up experiments.,xlsx
41589_2023_1459_MOESM6_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM6_ESM.xlsx,No Title,MOESM6,Supplementary Table 5 Results related to PKN3 follow-up experiments.,Results related to PKN3 follow-up experiments.,xlsx
41589_2023_1459_MOESM2_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM2_ESM.xlsx,No Title,MOESM2,Supplementary Table 1 Compound annotation.,Compound annotation.,xlsx
41589_2023_1459_MOESM3_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM3_ESM.xlsx,No Title,MOESM3,Supplementary Table 2 Drug matrix of target affinity values.,Drug matrix of target affinity values.,xlsx
41589_2023_1459_MOESM4_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM4_ESM.xlsx,No Title,MOESM4,Supplementary Table 3 Selectivities of tool compounds.,Selectivities of tool compounds.,xlsx
41589_2023_1459_MOESM5_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM5_ESM.xlsx,No Title,MOESM5,Supplementary Table 4 Results related to CK2 follow-up experiments.,Results related to CK2 follow-up experiments.,xlsx
41589_2023_1459_MOESM6_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11062922/bin/41589_2023_1459_MOESM6_ESM.xlsx,No Title,MOESM6,Supplementary Table 5 Results related to PKN3 follow-up experiments.,Results related to PKN3 follow-up experiments.,xlsx
