['mmc2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['bmjopen-2018-024498.reviewer_comments.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6475176']
['30904851', 'pdb', 'PMC6475176']
['bmjopen-2018-024498supp001.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6475176']
['bmjopen-2018-024498.draft_revisions.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6475176']
['e-geod-1297', 'arrayexpress', 'PMC6484273']
['e-geod-36980', 'arrayexpress', 'PMC6484273']
['e-geod-21138', 'arrayexpress', 'PMC6484273']
['e-geod-48350', 'arrayexpress', 'PMC6484273']
['e-geod-12649', 'arrayexpress', 'PMC6484273']
['e-geod-17612', 'arrayexpress', 'PMC6484273']
['e-geod-5281', 'arrayexpress', 'PMC6484273']
['e-geod-5388', 'arrayexpress', 'PMC6484273']
['e-geod-28146', 'arrayexpress', 'PMC6484273']
['e-geod-29378', 'arrayexpress', 'PMC6484273']
['e-geod-3790', 'arrayexpress', 'PMC6484273']
['doi:10.5281/zenodo.823256', 'doi.org', 'PMC6484273']
['e-geod-118553', 'arrayexpress', 'PMC6484273']
['e-geod-20168', 'arrayexpress', 'PMC6484273']
['e-geod-53987', 'arrayexpress', 'PMC6484273']
['e-geod-35978', 'arrayexpress', 'PMC6484273']
['e-geod-21935', 'arrayexpress', 'PMC6484273']
['mmc2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6506796']
['ra_eas_summary_stats', 'jenger.riken.jp', 'PMC6506796']
['ldsc_github', 'github.com', 'PMC6506796']
['mmc1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6506796']
['pmc6506796', 'www.ncbi.nlm.nih.gov', 'PMC6506796']
['homer', 'homer.ucsd.edu', 'PMC6506796']
['10.1016/j.ajhg.2019.03.012', 'doi.org', 'PMC6506796']
['31006511', 'pdb', 'PMC6506796']
['impact_github', 'github.com', 'PMC6506796']
['1000genomes', 'pdb', 'PMC6506796']
['ra_eur_summary_stats', 'plaza.umin.ac.jp', 'PMC6506796']
['mmc3.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6506796']
['ldscore_broad', 'data.broadinstitute.org', 'PMC6506796']
['gtex_v7', 'gtexportal.org', 'PMC6506796']
['gist_3d9f374e0ade031c475a', 'gist.github.com', 'PMC6506796']
['srs373308', 'sra', 'PMC6516162']
['gse47966', 'geo', 'PMC6516162']
['srp005169', 'www.ncbi.nlm.nih.gov', 'PMC6516162']
['gse110349', 'geo', 'PMC6516162']
['srs373257', 'sra', 'PMC6516162']
['gse61915', 'geo', 'PMC6516162']
['gse97409', 'geo', 'PMC6516529']
['nihms1512658', 'www.ncbi.nlm.nih.gov', 'PMC6516529']
['gse22428', 'geo', 'PMC6516529']
['gse5281', 'geo', 'PMC6516529']
['gse97560', 'geo', 'PMC6516529']
['gse77565', 'geo', 'PMC6516529']
['lsa-2019-00303_tables3.docx', 'www.ncbi.nlm.nih.gov', 'PMC6537750']
['phs000424.v6.p1', 'dbgap', 'PMC6537750']
['lsa-2019-00303_tables2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6537750']
['lsa-2019-00303_tables1.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6537750']
['lsa-2019-00303_review_history.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6537750']
['lsa-2019-00303_tables5.docx', 'www.ncbi.nlm.nih.gov', 'PMC6537750']
['lsa-2019-00303_tables4.docx', 'www.ncbi.nlm.nih.gov', 'PMC6537750']
['h0351.106', 'human.brain-map.org', 'PMC6557985']
['h0351.1009', 'human.brain-map.org', 'PMC6557985']
['pmc6557985', 'www.ncbi.nlm.nih.gov', 'PMC6557985']
['mouseac', 'www.mouseac.org', 'PMC6557985']
['h0351.2001', 'human.brain-map.org', 'PMC6557985']
['10.3389/fimmu.2019.01170', 'doi.org', 'PMC6557985']
['h0351.1012', 'human.brain-map.org', 'PMC6557985']
['31214167', 'pdb', 'PMC6557985']
['h0351.2002', 'human.brain-map.org', 'PMC6557985']
['h0351.1015', 'human.brain-map.org', 'PMC6557985']
['prjna293910', 'www.ncbi.nlm.nih.gov', 'PMC6585382']
['bbx157_supp', 'www.ncbi.nlm.nih.gov', 'PMC6585382']
['prjna157243', 'www.ncbi.nlm.nih.gov', 'PMC6585382']
['phs000167.v1.p1', 'dbgap', 'PMC6585382']
['fbirnbdr.nbirn.net:8080 (broken)', 'unknown_publisher', 'PMC6585382']
['phs000687.v1.p1', 'dbgap', 'PMC6585382']
['prjna94281', 'www.ncbi.nlm.nih.gov', 'PMC6585382']
['phs000448.v1.p1', 'dbgap', 'PMC6585382']
['phs000608.v1.p1', 'dbgap', 'PMC6585382']
['phs000738.v1.p1', 'dbgap', 'PMC6585382']
['phs000473.v2.p2', 'dbgap', 'PMC6585382']
['phs000021.v3.p2', 'dbgap', 'PMC6585382']
['phs000979.v1.p1', 'dbgap', 'PMC6585382']
['rcelebi/dream-drugcombo', 'github.com', 'PMC6586895']
['gse24550', 'geo', 'PMC6590447']
['gse29638', 'geo', 'PMC6590447']
['gse14333', 'geo', 'PMC6590447']
['doi:10.7908/c11g0km9', 'doi.org', 'PMC6590447']
['gse79959', 'geo', 'PMC6590447']
['gse39582', 'geo', 'PMC6590447']
['gse57083', 'geo', 'PMC6590447']
['gse52735', 'geo', 'PMC6590447']
['gse36133', 'geo', 'PMC6590447']
['gse96528', 'geo', 'PMC6590447']
['gse97023', 'geo', 'PMC6590447']
['gse69182', 'geo', 'PMC6590447']
['29802388', 'pdb', 'PMC6599633']
['nihms962042-supplement-sup_table_2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6599633']
['nihms962042', 'www.ncbi.nlm.nih.gov', 'PMC6599633']
['pmc6599633', 'pmc.ncbi.nlm.nih.gov', 'PMC6599633']
['10.1038/s41593-018-0154-9', 'doi.org', 'PMC6599633']
['31510692', 'pdb', 'PMC6612863']
['pmc6612863', 'pmc.ncbi.nlm.nih.gov', 'PMC6612863']
['response-logic-projects/sw-48_analysis/data', 'github.com', 'PMC6612863']
['kegg', 'www.kegg.jp', 'PMC6612863']
['btz326_supplementary_data', 'www.ncbi.nlm.nih.gov', 'PMC6612863']
['github.com/grosstor/response-logic-projects', 'github.com', 'PMC6612863']
['10.1093/bioinformatics/btz326', 'doi.org', 'PMC6612863']
['github.com/grosstor/response-logic', 'github.com', 'PMC6612863']
['data_sheet_1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6614444']
['gse47726', 'geo', 'PMC6614444']
['31311516', 'pdb', 'PMC6636101']
['pmc6636101', 'www.ncbi.nlm.nih.gov', 'PMC6636101']
['data2dynamics/d2d', 'github.com', 'PMC6636101']
['10.1186/s12859-019-2976-1', 'doi.org', 'PMC6636101']
['encsr000dyi', 'www.encodeproject.org', 'PMC6639121']
['10.5281/zenodo.2852870', 'doi.org', 'PMC6639121']
['scr_017196', 'scicrunch.org', 'PMC6639121']
['10.5524/100618', 'doi.org', 'PMC6639121']
['srr1198790', 'www.ncbi.nlm.nih.gov', 'PMC6639121']
['10.20900/agmr20190003', 'doi.org', 'PMC6656386']
['pmc6656386', 'www.ncbi.nlm.nih.gov', 'PMC6656386']
['pmid:31342014', 'pubmed.ncbi.nlm.nih.gov', 'PMC6656386']
['nihms1034402', 'pmc.ncbi.nlm.nih.gov', 'PMC6656386']
['gse100550', 'geo', 'PMC6659803']
['gse33113', 'geo', 'PMC6659803']
['gse33114', 'geo', 'PMC6659803']
['gse39582', 'geo', 'PMC6659803']
['gse39396', 'geo', 'PMC6659803']
['pone.0219261.s004', 'www.ncbi.nlm.nih.gov', 'PMC6687152']
['pone.0219261.s005', 'www.ncbi.nlm.nih.gov', 'PMC6687152']
['pone.0219261.s001', 'www.ncbi.nlm.nih.gov', 'PMC6687152']
['phs000007.v30.p11', 'dbgap', 'PMC6687152']
['pone.0219261.s002', 'www.ncbi.nlm.nih.gov', 'PMC6687152']
['pone.0219261.s003', 'www.ncbi.nlm.nih.gov', 'PMC6687152']
['rsos181806supp1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp13.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp10.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp2.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp3.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp8.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp12.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp4.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp6.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp5.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp7.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp11.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['rsos181806supp9.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6689600']
['10.6084/m9.figshare.c.4582823', 'doi.org', 'PMC6689600']
['gse37892', 'geo', 'PMC6697729']
['petacc3', nan, 'PMC6697729']
['gse33113', 'geo', 'PMC6697729']
['kfsyscc', nan, 'PMC6697729']
['gse13294', 'geo', 'PMC6697729']
['gpl570', 'geo', 'PMC6697729']
['gse13067', 'geo', 'PMC6697729']
['gse17536', 'geo', 'PMC6697729']
['gse42284', 'geo', 'PMC6697729']
['tcga', 'gdac.broadinstitute.org', 'PMC6697729']
['gse20916', 'geo', 'PMC6697729']
['gse14333', 'geo', 'PMC6697729']
['gse35896', 'geo', 'PMC6697729']
['gpl16280', 'geo', 'PMC6697729']
['gse2109', 'geo', 'PMC6697729']
['gse39582', 'geo', 'PMC6697729']
['gpl96', 'geo', 'PMC6697729']
['gse20194', 'geo', 'PMC6697729']
['pone.0221444.s001', 'www.ncbi.nlm.nih.gov', 'PMC6705791']
['10.24433/co.7378111.v3', 'doi.org', 'PMC6722117']
['10.6084/m9.figshare.3115156.v2', 'doi.org', 'PMC6722117']
['gse42944', 'geo', 'PMC6722117']
['e-mtab-181', 'arrayexpress', 'PMC6722117']
['e-tabm-157', 'arrayexpress', 'PMC6722117']
['10.7910/dvn/bxiy5w', 'doi.org', 'PMC6722117']
['gse73526', 'geo', 'PMC6722117']
['gse128333', 'geo', 'PMC6739105']
['b8ca5856-9819-459c-87c5-94e91aca4032', 'portal.gdc.cancer.gov', 'PMC6741849']
['e433a47f-7281-42aa-8bba-0affd1eb6df0', 'portal.gdc.cancer.gov', 'PMC6741849']
['6f5cde97-d259-414f-8122-6d0d66f49b74', 'pdb', 'PMC6741849']
['eea22323-9e5b-45e3-90c2-8aa7d07da175', 'portal.gdc.cancer.gov', 'PMC6741849']
['nihms1534152', 'www.ncbi.nlm.nih.gov', 'PMC6750256']
['10.7717/peerj.7667/supp-10', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-7', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-9', 'doi.org', 'PMC6776068']
['ensembl_release_87', 'www.ensembl.org', 'PMC6776068']
['10.7717/peerj.7667/supp-15', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-14', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-17', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-12', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-3', 'doi.org', 'PMC6776068']
['pmc6776068', 'www.ncbi.nlm.nih.gov', 'PMC6776068']
['10.7717/peerj.7667/supp-18', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-6', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-11', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-4', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-19', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-5', 'doi.org', 'PMC6776068']
['utrdb', 'utrdb.ba.itb.cnr.it', 'PMC6776068']
['10.7717/peerj.7667/supp-2', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-8', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-13', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-16', 'doi.org', 'PMC6776068']
['10.7717/peerj.7667/supp-1', 'doi.org', 'PMC6776068']
['10.1186/s12967-019-2073-2', 'doi.org', 'PMC6778975']
['pmc6778975', 'pmc.ncbi.nlm.nih.gov', 'PMC6778975']
['tcga', 'portal.gdc.cancer.gov', 'PMC6778975']
['cptac', 'cptac-data-portal.georgetown.edu', 'PMC6778975']
['10.7937/k9/tcia.2014.8sipiy6g', 'doi.org', 'PMC6778975']
['tcia', 'www.cancerimagingarchive.net', 'PMC6778975']
['ega', 'www.ebi.ac.uk', 'PMC6778975']
['geo', 'www.ncbi.nlm.nih.gov', 'PMC6778975']
['dbgap', 'www.ncbi.nlm.nih.gov', 'PMC6778975']
['radiogenomics-mae-case-study', 'gitlab.com', 'PMC6778975']
['31590671', 'pdb', 'PMC6778975']
['icgc', 'dcc.icgc.org', 'PMC6778975']
['hbcc', 'www.nimh.nih.gov', 'PMC6791127']
['nihms1534157-supplement-supplemental_figures.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['nihms1534157-supplement-table_s4.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['gse67835', 'geo', 'PMC6791127']
['cmc', 'synapse.org', 'PMC6791127']
['pmc6791127', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['nihms1534157-supplement-table_s3.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['10.1038/s41593-019-0463-7', 'doi.org', 'PMC6791127']
['nihms1534157-supplement-table_s5.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['nihms1534157-supplement-table_s7.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['nihms1534157-supplement-table_s6.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['nihms1534157-supplement-table_s2.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['nihms1534157-supplement-table_s1.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6791127']
['10.1038/s41598-019-49327-2', 'doi.org', 'PMC6791882']
['31611601', 'pdb', 'PMC6791882']
['pmc6791882', 'www.ncbi.nlm.nih.gov', 'PMC6791882']
['gse14333', 'geo', 'PMC6802642']
['gse39582', 'geo', 'PMC6802642']
['gse50760', 'geo', 'PMC6802642']
['gse107422', 'geo', 'PMC6802642']
['jem_20190430_sm.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6829597']
['jem_20190430_datas1.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6829597']
['srp075075', 'www.ncbi.nlm.nih.gov', 'PMC6842090']
['pht004946.v1.p1', 'www.ncbi.nlm.nih.gov', 'PMC6842090']
['ccle-prad', 'portal.gdc.cancer.gov', 'PMC6842090']
['gse92574', 'geo', 'PMC6842090']
['mbio.02627-19-st003.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6851285']
['mbio.02627-19-st002.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6851285']
['gse119585', 'geo', 'PMC6851285']
['mbio.02627-19-st001.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6851285']
['kipan', 'firebrowse.org', 'PMC6857918']
['tcga-gbm', 'cancergenome.nih.gov', 'PMC6873877']
['gse16011', 'geo', 'PMC6873877']
['bitbucket:mutfootprints', 'bitbucket.org', 'PMC6887544']
['erp001815', 'www.ebi.ac.uk', 'PMC6887544']
['ems84512-supplement-supplementary_table.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6887544']
['erp002415', 'www.ebi.ac.uk', 'PMC6887544']
['pmc6887544', 'www.ncbi.nlm.nih.gov', 'PMC6887544']
['ems84512-supplement-1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6887544']
['ems84512-supplement-supplementary_files.zip', 'www.ncbi.nlm.nih.gov', 'PMC6887544']
['bitbucket:sigprofilerjulia', 'bitbucket.org', 'PMC6887544']
['10.5281/zenodo.2621365', 'doi.org', 'PMC6887557']
['tcga', 'portal.gdc.cancer.gov', 'PMC6887557']
['10.7908/c11g0km9', 'doi.org', 'PMC6887557']
['gdc_data_release_v7', 'portal.gdc.cancer.gov', 'PMC6887557']
['ems84665-supplement-suppl__table_2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC6887557']
['10.5281/zenodo.3461642', 'doi.org', 'PMC6887557']
['ems84665-supplement-suppl__figures_1_14_and_suppl__table_1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC6887557']
['pmc6893853', 'www.ncbi.nlm.nih.gov', 'PMC6893853']
['gse15745', 'geo', 'PMC6893853']
['gse123146', 'geo', 'PMC6893853']
['nihms1540363', 'www.ncbi.nlm.nih.gov', 'PMC6893853']
['supp_5_12_eaax7331__index.html', 'pmc.ncbi.nlm.nih.gov', 'PMC6905859']
['aax7331_sm.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC6905859']
['aax7331_table_s1.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC6905859']
['syn418003', 'synapse.org', 'PMC6914664']
['bsr-2019-2114_supp.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC6914664']
['gse58135', 'geo', 'PMC6914664']
['nm_052950', 'nuccore', 'PMC6914664']
['10.6084/m9.figshare.11184539', 'doi.org', 'PMC6917801']
['10.1038/s41597-019-0332-y', 'doi.org', 'PMC6917801']
['b18059', 'nuccore', 'PMC6933629']
['d3grn', 'github.com', 'PMC6933629']
['gse24080uams', 'geo', 'PMC6936209']
['giz153_supplemental_files.zip', 'www.ncbi.nlm.nih.gov', 'PMC6936209']
['10.5524/100684', 'doi.org', 'PMC6936209']
['emtab4032', 'arrayexpress', 'PMC6936209']
['41380_2019_458_moesm2_esm.docx', 'pdb', 'PMC6980445']
['41380_2019_458_moesm1_esm.docx', 'pdb', 'PMC6980445']
['emmm-12-e10491-s005.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s001.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s007.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s008.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s011.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s006.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s010.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s012.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s013.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s009.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s002.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s003.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['emmm-12-e10491-s004.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC7005540']
['10.1186/s12864-020-6541-0', 'doi.org', 'PMC7006120']
['pmc7006120', 'pmc.ncbi.nlm.nih.gov', 'PMC7006120']
['32028886', 'pdb', 'PMC7006120']
['data/mouse_test.bam', 'github.com', 'PMC7006120']
['meta/intron_mouse_3875.bed', 'github.com', 'PMC7006120']
['genemine/iread', 'github.com', 'PMC7006120']
['10.1186/s13059-020-1926-6', 'doi.org', 'PMC7007675']
['h72009', 'nuccore', 'PMC7007675']
['13059_2020_article_1926.pdf', 'pdb', 'PMC7007675']
['13059_2020_1926_moesm1_esm.docx', 'pdb', 'PMC7007675']
['egas00000000083', 'www.ebi.ac.uk', 'PMC7032692']
['egac00001000484', 'www.ebi.ac.uk', 'PMC7032692']
['tcga', nan, 'PMC7032692']
['metabric', 'synapse.org', 'PMC7032692']
['gtex', 'gtexportal.org', 'PMC7043350']
['gse125105', 'geo', 'PMC7043350']
['kknms_data', nan, 'PMC7043350']
['bios', 'genenetwork.nl', 'PMC7043350']
['1000_genomes_project', 'pdb', 'PMC7043350']
['pcbi.1007616.s010.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7043350']
['pcbi.1007616.s008.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7043350']
['kora-gen', 'epi.helmholtz-muenchen.de', 'PMC7043350']
['mddc_genotype_data', nan, 'PMC7043350']
['deepsea', 'deepsea.princeton.edu', 'PMC7043350']
['deepwas', 'github.com', 'PMC7043350']
['pcbi.1007616.s009.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7043350']
['pmc7043350', 'www.ncbi.nlm.nih.gov', 'PMC7043350']
['pcbi.1007616.s007.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7043350']
['doi: 10.1073/pnas.1917743117', 'doi.org', 'PMC7049100']
['pmid: 32047040', 'pubmed.ncbi.nlm.nih.gov', 'PMC7049100']
['pmcid: pmc7049100', 'www.ncbi.nlm.nih.gov', 'PMC7049100']
['syn11638893', 'synapse.org', 'PMC7073563']
['10.6084/m9.figshare.6982919.v2', 'doi.org', 'PMC7073563']
['syn20629666', 'synapse.org', 'PMC7073563']
['syn4939902', 'synapse.org', 'PMC7073563']
['genes-11-00226-s001', 'www.ncbi.nlm.nih.gov', 'PMC7073563']
['syn4984604', 'synapse.org', 'PMC7073563']
['moesm1', 'www.ncbi.nlm.nih.gov', 'PMC7078234']
['10283/3203', 'pdb', 'PMC7078234']
['supplementarytable15_eqtl', 's3.us-east-2.amazonaws.com', 'PMC7078234']
['10.6084/m9.figshare.3840696', 'doi.org', 'PMC7078234']
['aging-12-102840-s006..xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['aging-12-102840-s005..xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['10.18632/aging.102840', 'doi.org', 'PMC7093163']
['aging-12-102840-s003..xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['aging-12-102840-s007..pdf', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['aging-12-102840-s002..xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['aging-12-102840-s001..xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['pmc7093163', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['32125278', 'pdb', 'PMC7093163']
['aging-12-102840-s004..xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7093163']
['encode2018-sparse', 'www.encodeproject.org', 'PMC7104481']
['10.1186/s13059-020-01978-5', 'doi.org', 'PMC7104481']
['13059_2020_1978_moesm4_esm.docx', 'pdb', 'PMC7104481']
['10.5281/zenodo.3549064', 'doi.org', 'PMC7104481']
['13059_2020_1978_moesm2_esm.pdf', 'pdb', 'PMC7104481']
['13059_2020_1978_moesm3_esm.pdf', 'pdb', 'PMC7104481']
['13059_2020_1978_moesm1_esm.pdf', 'pdb', 'PMC7104481']
['encode2018-core', 'www.encodeproject.org', 'PMC7104481']
['32228713', 'pdb', 'PMC7104481']
['pmc7104481', 'www.ncbi.nlm.nih.gov', 'PMC7104481']
['jmschrei/avocado', 'github.com', 'PMC7104481']
['supp_gr.255463.119_supplemental_table_s2_new.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC7111521']
['gse145417', 'geo', 'PMC7111521']
['treeslab/circrna_asd', 'github.com', 'PMC7111521']
['supplemental_table_s16', 'www.ncbi.nlm.nih.gov', 'PMC7111525']
['pmc7111525', 'pmc.ncbi.nlm.nih.gov', 'PMC7111525']
['pcawg/msi', 'dcc.icgc.org', 'PMC7111525']
['supplemental_code2', 'www.ncbi.nlm.nih.gov', 'PMC7111525']
['supplemental_code1', 'www.ncbi.nlm.nih.gov', 'PMC7111525']
['supp_30_3_334__index.html', 'www.ncbi.nlm.nih.gov', 'PMC7111525']
['10.1101/gr.255026.119', 'doi.org', 'PMC7111525']
['pmid:32209592', 'pubmed.ncbi.nlm.nih.gov', 'PMC7111525']
['supplemental_data_dc1', 'genome.cshlp.org', 'PMC7111525']
['afujimoto/mimcall', 'github.com', 'PMC7111525']
['10.1101/783134v1', 'doi.org', 'PMC7113080']
['3572974', 'pdb', 'PMC7113080']
['pmc7113080', 'www.ncbi.nlm.nih.gov', 'PMC7113080']
['10.1200/cci.19.00127', 'doi.org', 'PMC7113080']
['10.1016/j.ebiom.2020.102716', 'doi.org', 'PMC7136599']
['mmc1.docx', 'www.ncbi.nlm.nih.gov', 'PMC7136599']
['32268267', 'pdb', 'PMC7136599']
['pmc7136599', 'www.ncbi.nlm.nih.gov', 'PMC7136599']
['10.3389/fonc.2020.00423', 'doi.org', 'PMC7154096']
['10.1093/database/baz158', 'doi.org', 'PMC7157186']
['pmc7157186', 'pmc.ncbi.nlm.nih.gov', 'PMC7157186']
['cgga', 'www.cgga.org.cn', 'PMC7212865']
['tcga', 'portal.gdc.cancer.gov', 'PMC7212865']
['firebrowse', 'firebrowse.org', 'PMC7212865']
['gbmlgg', 'firebrowse.org', 'PMC7212865']
['glass', 'www.glass-consortium.org', 'PMC7212865']
['gse117397', 'geo', 'PMC7217663']
['gsm3293825', 'geo', 'PMC7217663']
['gsm3293822', 'geo', 'PMC7217663']
['gsm3293824', 'geo', 'PMC7217663']
['gsm3293823', 'geo', 'PMC7217663']
['bicorn', 'cran.r-project.org', 'PMC7224214']
['41598_2020_63043_moesm1_esm', 'pdb', 'PMC7224214']
['gse1036', 'geo', 'PMC7224214']
['gse9169', 'geo', 'PMC7224214']
['10.1038/s41598-020-63043-2', 'doi.org', 'PMC7224214']
['gse51709', 'geo', 'PMC7224214']
['pmid:32409786', 'pubmed.ncbi.nlm.nih.gov', 'PMC7224214']
['gse62789', 'geo', 'PMC7224214']
['gse51403', 'geo', 'PMC7224214']
['gse69667', 'geo', 'PMC7224214']
['gse14103', 'geo', 'PMC7224214']
['gse6869', 'geo', 'PMC7224214']
['pmc7224214', 'www.ncbi.nlm.nih.gov', 'PMC7224214']
['gse147507', 'geo', 'PMC7241104']
['gse152075', 'geo', 'PMC7241104']
['10.6084/m9.figshare.12272351.v1', 'doi.org', 'PMC7241104']
['10.6084/m9.figshare.12272351', 'doi.org', 'PMC7241104']
['nr-52281', 'www.beiresources.org', 'PMC7241104']
['gse139516', 'geo', 'PMC7241104']
['40478_2020_950_moesm1_esm.docx', 'pdb', 'PMC7268362']
['40478_2020_950_moesm2_esm.xlsx', 'pdb', 'PMC7268362']
['nihms1581347', 'www.ncbi.nlm.nih.gov', 'PMC7269838']
['pmc7269838', 'www.ncbi.nlm.nih.gov', 'PMC7269838']
['dryad.rbnzs7h84', 'doi.org', 'PMC7295244']
['merck', 'mct.aacrjournals.org', 'PMC7296033']
['xeva', 'github.com', 'PMC7296033']
['nci-almanac', 'wiki.nci.nih.gov', 'PMC7296033']
['pdxfinder', 'www.pdxfinder.org', 'PMC7296033']
['deepsynergy', 'www.bioinf.jku.at', 'PMC7296033']
['digrem', 'lce.biohpc.swmed.edu', 'PMC7296033']
['pharmacogx/pharmacodb', 'pharmacodb.ca', 'PMC7296033']
['dcdb', 'www.cls.zju.edu.cn', 'PMC7296033']
['cellminercdb', 'discover.nci.nih.gov', 'PMC7296033']
['synergyfinder', 'synergyfinder.fimm.fi', 'PMC7296033']
